nama,alamat,deskripsi
Ibis Budget Bandung Asia Afrika,"Jl. Asia Afrika No. 128, Sumurbandung, 40261 Bandung, Indonesia","Ibis Budget Bandung Asia Afrika di pusat kawasan yang bersejarah di Bandung menawarkan kamar-kamar nyaman dan meja depan 24- am. Jalan Braga yang menyuguhkan beragam pilihan bersantap dapat dijangkau dengan 5 menit berjalan kaki. WiFi dapat diakses gratis di seluruh area hotel. Kamar-kamarnya yang cerah menawarkan pendingin ruangan, televisi kabel layar datar, rak pakaian serta lantai parket. Kamar mandi dalamnya menawarkan pancuran. Anda dapat menikmati pemandangan kota dari kamar. Sarapan dapat disajikan setiap hari di ruang sarapan, berdasarkan permintaan. Ibis Budget Bandung Asia Afrika menawarkan fasilitas pertemuan/perjamuan, serta fasilitas parkir valet gratis. Staf yang ramah siap membantu Anda dengan layanan penyimpanan bagasi, layanan binatu serta penyetrikaan. Ibis Budget Bandung Asia Afrika dapat dicapai dengan 5 menit berjalan kaki dari Konferensi Museum Asia Afrika dan 20 menit berkendara dari Bandara Internasional Husein Sastranegara. Sumurbandung adalah pilihan tepat buat wisatawan yang suka belanja baju, kuliner khas, dan hidangan lokal."
Ibis Bandung Pasteur,"Jl. Dr. Junjunan 22, Sukajadi, 40162 Bandung, Indonesia","Menyediakan layanan meja depan 24 jam, Ibis Bandung Pasteur dapat dicapai dalam 10 menit dengan berkendara dari Gedung Sate yang bersejarah. Properti ini memiliki restoran dan fasilitas pertemuan. Tersedia tempat parkir gratis dan Wi-Fi gratis di seluruh area hotel. Semua kamar memiliki AC, TV satelit layar datar, dan brankas pribadi. Kamar mandi en suitenya menyediakan shower dan perlengkapan mandi gratis. Pemandangan gunung dan kota dapat dinikmati dari dalam kamar. Berbagai hidangan khas lokal dan internasional ditawarkan di Ibis Kitchen. Berbagai tempat makan lainnya berada di Paris Van Java, dapat dicapai dalam 5 menit dengan berkendara. Cihampelas Walk juga menawarkan banyak restoran dan dapat dicapai dalam 15 menit dengan berkendara. Stafnya yang ramah dapat membantu dengan permintaan binatu, dry cleaning, dan menyetrika. Staf pramutamu dapat membantu dengan layanan penitipan bagasi gratis dan antar-jemput bandara dengan biaya tambahan. Properti ini dapat dicapai dalam 10 menit dengan berkendara dari Bandara Internasional Husein Sastranegara, dalam 15 menit dari Stasiun Kereta Api Bandung, dan dalam 1 jam dari Pemandian Air Panas Ciater. Sukajadi adalah pilihan tepat buat wisatawan yang suka kuliner khas, pemandangan, dan wisata kuliner."
Favehotel Braga,"Jl. Braga no. 99 - 101, Sumurbandung, 40111 Bandung, Indonesia","Favehotel Braga terletak di jantung kota Bandung, 5 menit berkendara dari Pasar Baru Shopping Centre. Hotel ini menawarkan Wi-Fi gratis, kafe, dan kamar ber-AC dengan TV kabel layar datar 32 inci. Braga favehotel berjarak 10 menit berkendara dari Trans Studio Indoor Theme Park dan 15 menit berkendara dari Bandara Internasional Husein Sastranegara. Kamar-kamarnya yang penuh gaya dan modern menampilkan gambar cetak dinding yang unik. Masing-masing unitnya yang terang benderang dilengkapi dengan brankas pribadi dan kamar mandi en suite dengan fasilitas shower. Staf meja depan 24 jam dapat membantu dengan layanan penyewaan mobil dan antar-jemput bandara. Layanan binatu dan menyetrika juga disediakan. Anda dapat mencicipi pilihan hidangan lokal dan internasional di Lime Café. Sumurbandung adalah pilihan tepat buat wisatawan yang suka belanja baju, kuliner khas, dan hidangan lokal."
Ivory Hotel Bandung,"Jl. Bahureksa No. 3, Bandung Wetan, 40115 Bandung, Indonesia","Ivory Hotel Bandung yang elegan menawarkan kamar-kamar yang nyaman dengan dekorasi kontemporer serta fasilitas akses Wi-Fi gratis dan tempat parkir gratis di pusat kota Bandung tepatnya 2 menit berjalan kaki dari Riau Junction dan 3 menit berjalan kaki dari Bandung Indah Plaza. Kamar-kamarnya yang didekorasi dengan warna-warna bernuansa teduh ini menawarkan area tempat duduk, lemari es, TV kabel layar datar, meja kerja, dan lemari pakaian. Kamar mandi pribadinya dilengkapi dengan pancuran, sandal, dan perlengkapan mandi gratis. Fasilitas lainnya adalah resepsionis 24 jam, layanan binatu dan cuci kering dengan biaya tambahan, mobil sewaan, serta layanan antar-jemput bandara dengan biaya tambahan. Anda dapat mencicipi berbagai makanan Indonesia dan Barat di Everjoy Restaurant & Coffee Boutique. Hidangannya juga dapat dinikmati dalam kamar. Hotel ini dapat dicapai dengan 5 menit berkendara dari daerah Dago yang ramai, 10 menit berkendara dari Gedung Sate, dan 15 menit berkendara dari Bandara Husein Sastranegara. Bandung Wetan adalah pilihan tepat buat wisatawan yang suka hidangan lokal, relaksasi, dan belanja baju."
The Papandayan,"Jl. Gatot Subroto 83, 40262 Bandung, Indonesia","The Papandayan menawarkan kemewahan bintang 5 di pusat kota Bandung, dengan menghadirkan kolam renang luar ruangan, fasilitas kebugaran, dan spa sehari. Hotel ini menyediakan layanan penuh perhatian dengan pelayan pribadi 24 jam, Wi-Fi gratis, dan 4 pilihan tempat bersantap. Kamar-kamarnya yang luas menampilkan interior yang elegan dalam nuansa krem ​​dan perak, serta dilengkapi TV kabel layar datar dan meja kerja. Semua kamar menyediakan fasilitas membuat teh/kopi dan minibar. The Papandayan dapat dicapai dalam 15 menit berkendara dari Bandara Internasional Husein Sastranegara dan dalam 25 menit berkendara dari Jalan Perbelanjaan Cihampelas yang populer. Hotel ini dapat dicapai dalam 25 menit berkendara dari perkebunan teh Bandung. Untuk relaksasi, perawatan kecantikan yang menenangkan menanti Anda di salon. Beragam fasilitas lain yang disediakan adalah pusat bisnis, resepsionis 24 jam, dan surat kabar harian. Beragam hidangan internasional disajikan di Cantigi Fine Dining, sedangkan Pago Restaurant menawarkan masakan khas Asia dan Jepang. Mirten Lounge dan The Deli ideal untuk menikmati camilan."
House Sangkuriang,"Jl. Sangkuriang no.1 Dago, Kecamatan Coblong, 40135 Bandung, Indonesia","Memiliki sebuah kolam renang outdoor dan restoran, House - Sangkuriang menawarkan lokasi yang strategis, hanya 5 menit jalan kaki dari berbagai factory outlet di Dago. Akomodasi ini menyediakan meja depan 24 jam dan akses Wi-Fi gratis di seluruh areanya. Kamar-kamar ber-AC yang elegan dan dengan tata cahaya hangat di House - Sangkuriang memiliki lantai kayu. Sebuah TV satelit layar datar, ketel listrik, dan 1x minibar gratis adalah beberapa di antara kenyamanan yang tersedia di dalam kamar, sementara shower, sandal, dan pengering rambut disediakan di kamar mandi dalam. Hotel ini juga menyajikan teh sore hari di lobi dan teras kolam renang setiap hari. Cihampelas Walk Mall terletak sejauh 10 menit berkendara dari akomodasi, sementara Bandara Husein Sastranegara sejauh 20 menit berkendara. Layanan antar-jemput bandara tersedia berdasarkan permintaan. Staf di meja depan dapat membantu dengan layanan parkir valet dan penitipan bagasi. Selain menyediakan pusat bisnis, hotel ini juga menawarkan layanan binatu dengan biaya tambahan. Hidangan internasional disajikan di Dining Room. Anda juga dapat menikmati hidangan dalam kenyamanan kamar Anda."
Mutiara Hotel,"Jalan Kebon Kawung No. 60, 40171 Bandung, Indonesia","Terletak di pusat kota Bandung, Mutiara Hotel berjarak 800 meter dari Braga City Walk. Hotel ini menawarkan sebuah kolam renang outdoor danresepsionis 24 jam. Dilengkapi dengan lantai keramik, kamar-kamar ber-AC memiliki kamar mandi pribadi. Air kemasan gratis disediakan di kamar, sementara pengering rambut tersedia berdasarkan permintaan. Mutiara Hotel Bandung berjarak sekitar 150 meter dari Stasiun Kereta Api Bandung dan 3 km dari Bandara Hussein Sastranegara. Akses Wi-Fi tersedia gratis di seluruh area hotel. Jika datang dengan kendaraan, Anda dapat memarkir mobil di hotel secara gratis."
HARRIS Hotel & Convention Festival Citylink Bandung,"Jl. Peta 241,Kopo, 40323 Bandung, Indonesia","HARRIS Hotel & Convention Festival Citylink Bandung hanya berselang 20 menit berkendara dari Bandara Hussein Sastra Negara, serta terhubung langsung ke Mal Festival CTLink. Hotel ini menawarkan sebuah kolam renang outdoor dan layanan pijat kaki. Wi-Fi tersedia secara gratis. Harris Hotel and Conventions Festival CTLink Bandung dapat dicapai dalam waktu 30 menit berkendara dari Stasiun Kereta Api Hall Jalan Kebon Kawung. Area perbelanjaan Pasar Baru Bandung berjarak sekitar 2,3 km. Kamar-kamarnya yang penuh warna menampilkan nuansa oranye dan karpet bercorak, serta memiliki desain yang simpel. Kamar mencakup TV kabel layar datar. Ditawarkan pula fasilitas membuat teh dan kopi, serta minibar. Di hotel ini, Anda bisa menikmati koneksi internet di pusat bisnis. Tersedia layanan penukaran mata uang dan mesin ATM untuk kenyamanan Anda. Anda dapat mencicipi makanan Asia dan Barat di Harris Café sambil menikmati pemandangan kota Bandung dari teras outdoornya. Juice Bar menyajikan menu yang meliputi jus segar dan koktail. Tersedia layanan kamar."
RedDoorz Premium @ Bandung City Center,"Jl. Otto Iskandar Dinata No.3, Babakan Ciamis, Sumur Bandung, Sumurbandung, 40181 Bandung, Indonesia","Terletak di Bandung, 1,6 km dari Braga City Walk, RedDoorz Premium @ Bandung City Center menyediakan kamar-kamar dengan AC dan Wi-Fi gratis. Akomodasi ini menyediakan resepsionis 24 jam dan restoran. Akomodasi bebas-rokok ini berjarak 1,7 km dari Terminal Bus Stasiun Hall. Semua unit di hotel ini memiliki TV layar datar. Istana Merdeka berjarak 2,2 km dari RedDoorz Premium @ Bandung City Center, sedangkan Jalan Riau berjarak 2,8 km. Bandara terdekat adalah Bandara Husein Sastranegara, 6 km dari akomodasi.Sumurbandung adalah pilihan tepat buat wisatawan yang suka belanja baju, kuliner khas, dan hidangan lokal."
HARRIS Hotel & Conventions Ciumbuleuit – Bandung,"Jl. Ciumbuleuit No. 50-58, 40141 Bandung, Indonesia","HARRIS Hotel & Conventions Ciumbuleuit - Bandung terletak tepat di samping Universitas Parahyangan. Hotel ini menyediakan akses Wi-Fi gratis dan parkir gratis. Hotel menawarkan kamar-kamar yang nyaman dengan dekorasi warna oranye khas HARRIS Hotel. Kamar-kamar ber-AC-nya dilengkapi TV kabel layar datar, brankas, dan area untuk duduk bersantai. Terdapat juga minibar dan teko listrik. Kamar mandi dalamnya menyediakan shower, mantel mandi, dan pengering rambut. Anda dapat menikmati pemandangan gunung. HARRIS Hotel & Conventions Ciumbuleuit - Bandung mengoperasikan meja resepsionis 24 jam, dengan staf yang ramah dapat membantu Anda mengatur penitipan bagasi dan layanan laundry dengan biaya tambahan. Antar-jemput bandara dapat diatur dengan biaya tambahan. Terdapat juga pusat bisnis dan ruang rapat untuk kenyamanan Anda. Anda dapat menikmati layanan pijat di spa dan pusat kesehatan serta berolahraga di gym. Harris Café menyajikan pilihan masakan Indonesia dan internasional. Selain itu, Anda dapat menemukan banyak restoran di area sekitar Cihampelas dan Dago yang terkenal, yang dapat dijangkau dengan 15 menit berkendara. Hotel ini dapat dicapai dengan 15 menit berkendara dari stasiun kereta Bandung dan 30 menit berkendara dari Bandara Internasional Husein Sastranegara."
Zest Hotel Sukajadi Bandung,"Jalan Sukajadi No.16, Sukajadi, 40161 Bandung, Indonesia","Terletak 600 meter dari Paris Van Java, Zest Hotel Bandung yang menampilkan desain minimalis modern dan menawarkan sebuah restoran serta akses WiFi gratis di seluruh properti. Hotel ini memiliki teras dan menampilkan pemandangan kota. Anda juga dapat menikmati hidangan di restorannya. Tempat parkir pribadi di properti dapat digunakan secara gratis. Setiap kamar ber-AC Zest Hotel Bandung menawarkan TV layar datar, area tempat duduk, meja kerja dan kamar mandi dalam dengan shower, toilet, dan perlengkapan mandi gratis. Tersedia juga meja depan 24-jam dan fasilitas pertemuan/perjamuan di hotel. Gerbang Tol Pasteur terletak 2,9 km dari Zest Hotel Bandung, dan Stasiun KA Bandung berjarak 3 km. Bandara Husein Sastranegara berjarak 5 km. Untuk pilihan tempat bersantap, Citruz menawarkan hidangan sepanjang hari dengan beragam masakan khas Indonesia dan internasional. Sukajadi adalah pilihan tepat buat wisatawan yang suka kuliner khas, pemandangan, dan wisata kuliner."
Amaroossa Hotel Bandung Indonesia,"Jl. Aceh no 71A, Bandung Wetan, 40115 Bandung, Indonesia","Amaroossa Hotel Bandung Indonesia terletak di pusat Kota Bandung, serta hanya berselang 5 menit jalan kaki ke berbagai factory outlet di Jalan Riau. Hotel ini menawarkan sebuah kolam renang outdoor, Wi-Fi gratis, dan 6 pilihan tempat bersantap. Setiap kamar menampilkan dekorasi yang unik, serta dilengkapi dengan tempat tidur mewah, TV satelit layar datar, dan fasilitas menyetrika. Terdapat juga sebuah minibar, brankas pribadi, dan pengering rambut. Anda dapat berolahraga di pusat kebugaran modern atau menikmati perawatan khusus yang mencakup aromaterapi di Larenta Salon & Spa. Anak-anak dapat menemukan beragam permainan dan kegiatan di sudut anak-anak. Roses Coffee Shop yang elegan menyuguhkan berbagai pilihan kopi, sedangkan The Roosse Cake Bakery menyajikan kue-kue basah dan kering yang lezat. The Gardenia dikelilingi oleh tanaman hijau tropis, serta menampilkan suasana luar ruangan yang indah untuk bersantap. Aneka masakan khas Indonesia, China, dan Barat disajikan di restoran-restoran hotel yang buka sepanjang hari. Amaroosa Hotel Bandung dapat dicapai dalam waktu 25 menit berkendara dari Bandara Internasional Husein Sastranegara. Bandung Wetan adalah pilihan tepat buat wisatawan yang suka hidangan lokal, relaksasi, dan belanja baju."
U Janevalla Bandung,"Jalan Aceh No. 65, Bandung Wetan, 40115 Bandung, Indonesia","U Janevalla Bandung terletak di Bandung, dan hanya berjarak 900 meter dari Braga City Walk. Akomodasi ini memiliki kolam renang outdoor, pusat kebugaran, dan resepsionis 24 jam. Tempat-tempat menarik yang populer di sekitar hotel ini termasuk Gedung Sate dan Jalan Riau. Wi-Fi gratis ditawarkan. Di U Janevalla Bandung, kamar-kamar dilengkapi dengan meja, lemari, AC, dan TV layar datar. Kamar mandi pribadinya dilengkapi dengan bidet, perlengkapan mandi gratis, dan pengering rambut. Para tamu di U Janevalla Bandung dapat menikmati sarapan prasmanan di All Day Dining Restaurant, yang juga buka untuk makan siang dan makan malam. Terminal Bus Stasiun Hall dapat dicapai dengan 15 menit berjalan kaki dari hotel, sedangkan Pasar Baru Bandung berjarak 1,3 km dari akomodasi. Bandara terdekat adalah Bandara Husein Sastranegara, 4 km dari U Janevalla Bandung. Bandung Wetan adalah pilihan tepat buat wisatawan yang suka hidangan lokal, relaksasi, dan belanja baju."
Bukit Dago Hotel ,"Jl. Ir. H. Juanda No. 311, 40135 Bandung, Indonesia","Terletak di jantung kawasan Dago yang terkenal di Bandung, Bukit Dago Hotel menawarkan akomodasi nyaman dengan akses Wi-Fi gratis di seluruh area, serta parkir gratis bagi Anda yang berkendara. Hotel ini berjarak sekitar 5 menit berkendara dari factory outlet yang modis di kawasan Dago, dan sekitar 10 menit berkendara dari Stasiun KA Bandung. Bandara Internasional Husein Sastranegara dapat dijangkau dalam 20 menit berkendara. Setiap kamar ber-AC Bukit Dago Hotel menawarkan TV kabel, area tempat duduk, serta kamar mandi dalam yang menyediakan fasilitas shower air panas/dingin dan perlengkapan mandi gratis. Fasilitas lemari es mini dan bathtub hanya tersedia di kamar-kamar tertentu. Handuk dan seprai bersih juga disediakan. Fasilitas meja depan yang beroperasi 24 jam ini dapat membantu Anda untuk menikmati layanan penyewaan mobil dan layanan menyetrika dengan biaya tambahan. Restoran di Bukit Dago ini menawarkan pilihan tempat bersantap yang nyaman denhan suguhan menu sarapan serta hidangan Indonesia yang lezat."
M Premiere Hotel Dago Bandung,"Jl. Sultan Tirtayasa No. 5, Bandung Wetan, 40115 Bandung, Indonesia","M Premiere Hotel Dago Bandung menawarkan akomodasi dengan WiFi gratis di Bandung, 700 meter dari Gedung Sate. Anda dapat bersantap di restoran hotel, dan menikmati minuman di kedai kopi. Tempat parkir pribadi gratis tersedia di akomodasi. Masing-masing kamar ber-AC di hotel ini dilengkapi TV kabel layar datar, brankas pribadi, dan ketel listrik. Semua kamar memiliki area tempat duduk dan kamar mandi pribadi dengan shower. Fasilitas lainnya meliputi sandal dan perlengkapan mandi gratis. Hotel ini mengoperasikan meja depan 24 jam yang dapat membantu dengan layanan parkir valet dan penitipan bagasi. Layanan antar-jemput bandara pulang pergi dapat diatur dengan biaya tambahan. Jalan Riau berjarak 1,1 km dari M Premiere Hotel Dago Bandung, sementara Cihampelas Walk terletak sejauh 1,3 km. Bandara terdekat adalah Bandara Husein Sastranegara, 4 km dari hotel. Bandung Wetan adalah pilihan tepat buat wisatawan yang suka hidangan lokal, relaksasi, dan belanja baju."
Amaris Hotel Cihampelas,"Jl. Cihampelas No. 171, 40131 Bandung, Indonesia","Amaris Cihampelas menawarkan kamar-kamar yang modern dan minimalis dengan Wi-Fi gratis dan TV kabel layar datar. Akomodasi ini memiliki sebuah restoran 24 jam dan kolam renang indoor, dan hanya 15 menit berjalan kaki dari pusat kota. Amaris Hotel Cihampelas terletak di samping Pusat Konvensi Sabuga dan 15 menit berjalan kaki dari Ciwalk yang populer. Hotel yang menawarkan parkir gratis ini dapat dicapai dalam waktu 2 jam berkendara dari Jakarta. Menampilkan dekorasi kaya warna, kamar diperaboti dengan simpel dan ber-AC. Semua menawarkan kenyamanan dari adanya brankas, meja kerja, dan kamar mandi pribadi. Untuk bersantai, Anda bisa menikmati pijat relaksasi sementara anak-anak bermain di kolam renang indoor. Staf hotel bisa menyediakan penyewaan mobil dan layanan pramutamu. Hidangan prasmanan disajikan di restoran Amaris Hotel yang bernuansa kasual."
Meize Hotel Bandung,"Jl. Sumbawa No. 7, Sumurbandung, 40113 Bandung, Indonesia","Memiliki sebuah taman dengan area tempat duduk, Meize Hotel Bandung menawarkan lokasi yang strategis, hanya 1,1 km dari Jalan Riau dan Braga City Walk. Sebuah bar makanan ringan dan mini market juga tersedia di tempat ini. Wi-Fi gratis dapat diakses di seluruh area. Kamar-kamar ber-AC Meize Hotel Bandung dilengkapi TV satelit, ketel listrik dan brankas. Kamar mandi dalamnya menyediakan shower, handuk, sandal dan perlengkapan mandi gratis. Staf di meja depan 24-jam dapat membantu Anda dengan layanan faks/fotokopi. Bandara Husein Sastranegara berjarak 5 km dari Meize Hotel Bandung. Sumurbandung adalah pilihan tepat buat wisatawan yang suka belanja baju, kuliner khas, dan hidangan lokal."
UTC Bandung,"Jalan Ir. H.Djuanda, Bandung Wetan, 40171 Bandung, Indonesia","Menyediakan taman dan Wi-Fi gratis, UTC Bandung menawarkan akomodasi di Bandung. Anda dapat menikmati hidangan di restoran hotel atau dengan memesan layanan kamar. Tempat parkir pribadi tersedia gratis di lokasinya. Kamar-kamarnya yang sederhana memiliki AC dan TV layar datar. Beberapa unit memiliki area tempat duduk di mana Anda dapat bersantai. Setiap kamar menyediakan kamar mandi pribadi. Hotel ini menyediakan layanan meja depan 24 jam dan pramutamu. Gedung Sate berjarak 900 meter dari UTC Bandung, sedangkan Jalan Riau berjarak 1,2 km. Bandara Husein Sastranegara berjarak 4 km dari hotel. Bandung Wetan adalah pilihan tepat buat wisatawan yang suka hidangan lokal, relaksasi, dan belanja baju."
Hotel Citradream Bandung,"Jl. Pasir Kaliki No. 36 - 42, 40171 Bandung, Indonesia","Terletak tepat di jantung kota Bandung, Hotel Citradream Bandung menawarkan akomodasi nyaman yang menampilkan desain modern dan kontemporer serta akses WiFi gratis di seluruh areanya. Tersedia parkir gratis jika Anda membawa kendaraan. Dari properti, dibutuhkan waktu 10 menit berkendara ke daerah Cihampelas yang terkenal dan 15 menit berkendara ke kawasan Dago yang ramai. Dataran tinggi Lembang dicapai dalam 45 menit berkendara, sementara Bandara Internasional Husein Sastranegara berselang sekitar 30 menit dengan mobil. Setiap kamar di hotel ini menyediakan TV, AC, dan area tempat duduk. Kamar mandi pribadinya menawarkan shower, sandal, dan perlengkapan mandi gratis. Anda dapat menikmati pemandangan kota dari kamar. Fasilitas tambahannya meliputi saluran satelit. Di Hotel Citradream Bandung, Anda akan menemukan meja depan 24 jam. Fasilitas lain yang ditawarkan di akomodasi ini mencakup penitipan bagasi. Untuk pilihan bersantap, The Flavour Restaurant tersedia di hotel dan menyajikan aneka hidangan khas Indonesia serta internasional. Selain itu, Anda dapat menjelajahi daerah sekitarnya di mana berbagai restoran dapat ditemukan di Istana Plaza yang hanya berjarak 5 menit jalan kaki."
OYO 167 Dago's Hill Hotel,"Jalan Tubagus Ismail VIII No. 39 A, Sekeloa, Coblong, Dago, Asia Afrika, Braga, 40134 Bandung, Indonesia ","Menawarkan akses Wi-Fi gratis di seluruh area hotel, Dago's Hill Hotel, Business and Leisure berselang 10 menit berkendara dari daerah Dago yang menawarkan beragam factory outlet. Hotel ini memiliki sebuah kolam renang outdoor dan kamar-kamar modern dengan kamar mandi pribadi. Paris Van Java Shopping Mall berjarak 20 menit berkendara dari Dago's Hill Hotel. Bandara Husein Sastranegara dan Stasiun Pusat Bandung dapa dicapai dalam 30 menit berkendara. Dibutuhkan waktu 45 menit berkendara menuju Taman Hiburan Indoor Trans Studio dari properti ini. Semua kamarnya yang lengkap menawarkan lantai keramik dan AC. Setiap kamar memiliki meja, telepon, dan TV kabel layar datar. Tersedia brankas di kamar-kamar tertentu. Kamar mandi pribadinya menyediakan fasilitas shower. Beragam fasilitasnya mencakup layanan binatu dan fasilitas rapat/perjamuan. Staf di meja depan 24 jam juga dapat mengatur penyewaan mobil dan antar-jemput bandara. Hidangan Indonesia dan internasional disajikan di restoran hotel. Anda juga dapat menikmati santapan dalam kenyamanan kamar Anda."
Favehotel Hyper Square,"Jl. Pasir Kaliki No. 25-27, 40181 Bandung, Indonesia","Hanya berselang sekitar 5 menit jalan kaki dari Paskal Hyper Square Food Market di Bandung, favehotel Hyper Square menawarkan akomodasi yang nyaman dan modern dengan akses Wi-Fi gratis di semua area akomodasi dan layanan resepsionis 24 jam. Dibutuhkan sekitar 10 menit jalan kaki dari hotel ke Stasiun Kereta Bandung, dan sekitar 15 menit berkendara untuk mencapai Jalan Riau yang terdapat banyak factory outlet trendi. Bandara Internasional Husein Sastranegara berjarak sekitar 20 menit berkendara. Dapat diakses dengan lift, kamar-kamar di favehotel Hyper Square ber-AC dan dilengkapi dengan TV satelit layar datar serta lemari pakaian. Terdapat juga brankas pribadi, area tempat duduk, dan kamar mandi dalam dengan fasilitas shower, sandal, dan perlengkapan mandi gratis. Seprai dan handuk juga disediakan. Anda dapat menikmati pemandangan kota dari setiap kamar. Layanan pramutamu, penyimpanan bagasi gratis, dan taman ditawarkan di hotel ini. Fasilitas lainnya seperti antar-jemput bandara, layanan binatu, fasilitas pertemuan/perjamuan, dan di tempat parkir umum dapat tersedia dengan biaya tambahan. Untuk pilihan makan, restoran hotel menyajikan menu Indonesia, Barat, dan Cina. Anda juga dapat menikmati makanan di kamar dengan layanan kamar."
Casa De Apple,"Jalan Apel No. 2, Rancakendal, Dago RT/RW. 004/001, 40191 Bandung, Indonesia","Casa De Apple di Bandung menyediakan akomodasi khusus dewasa dengan layanan antar-jemput bandara berbayar, taman, lounge bersama, teras, restoran, layanan kamar, serta balkon dengan pemandangan taman. Semua kamarnya memiliki lemari pakaian, TV layar datar, kamar mandi pribadi, kulkas. Casa De Apple berjarak 4,1 km dari Dago Pakar, 6 km dari Jalan Riau, serta 10 km dari Bandara Husein Sastranegara."
Green Batara Hotel,"Jalan Cihampelas no 145, 40126 Bandung, Indonesia","Green Batara Hotel yang ramah lingkungan terletak di Bandung, tepat di seberang Cihampelas Walk. Hotel ini menawarkan sebuah pusat spa dan layanan meja depan 24-jam. Wi-Fi dapat diakses secara gratis di seluruh area resor. Masing-masing kamar Green Batara Hotel dilengkapi AC dan TV layar datar. Anda juga dapat menikmati secangkir teh sambil mengagumi pemandangan pegunungan atau kota dari balkon yang dihiasi tanaman. Semua kamar memiliki kamar mandi pribadi. Fasilitas lain yang ditawarkan termasuk jubah mandi, sandal, dan perlengkapan mandi gratis. Anda dapat mencicipi hidangan internasional dan lokal di restoran ataupun menikmati minuman di bar. Layanan kamar juga dapat dipesan untuk bersantap di dalam kamar. Staf properti dapat membantu Anda dengan layanan parkir valet dan penyimpanan bagasi. Gedung Sate terletak 1,8 km dari Green Batara Hotel, dan Jalan Riau berjarak 2,3 km. Bandara Husein Sastranegara berjarak 3 km dari hotel. Layanan transfer bandara dapat diatur sebelumnya dengan biaya tambahan."
Padma Hotel Bandung,"Jalan Ranca Bentang 56–58 Ciumbuleuit, 40142 Bandung, Indonesia","Padma Hotel Bandung menyuguhkan pemandangan pegunungan yang menawan, serta menawarkan sebuah kolam renang outdoor, spa, dan antar-jemput 2-arah gratis dari bandara atau stasiun kereta api. Hotel ini terletak di lereng bukit, serta menyediakan Wi-Fi gratis dan layanan pelayan pribadi 24-jam. Check-in dilakukan dalam kenyamanan kamar Anda. Beragam pilihan tempat perbelanjaan yang meliputi Paris Van Java Mall dan Ciwalk Mall dapat dicapai dalam waktu 15 menit berkendara dari hotel. Bandung Padma berselang 30 menit berkendara dari Bandara Internasional Husein Sastranegara. Kamar-kamar di Padma Hotel Bandung berlantai kayu, serta dilengkapi dengan TV layar datar 42 inci dan pemutar DVD. Kamar mencakup teh/kopi pagi dan teh sore. Hotel ini menawarkan berbagai kegiatan mingguan, di antaranya berjalan di atas tali dan olahraga mendaki. Anda dapat berolahraga di pusat kebugaran atau berendam di hot tub terbuka. Tersedia pula penyewaan mobil dan layanan binatu. Hidangan Asia dan Eropa dapat dinikmati di restoran hotel. Pilihan lainnya, area makan outdoor memberikan kesempatan bagi Anda untuk menikmati semilir angin pegunungan dan pemandangan kawasan hijau di sekitarnya."
Amaris Hotel Setiabudhi – Bandung,"Jl. Dr. Setiabudhi No. 156A, 40141 Bandung, Indonesia","Amaris Hotel Setiabudhi - Bandung terletak di Bandung, 1,5 km dari Villa Isola. Properti ini memiliki restoran dan meja depan 24-jam. Wi-Fi gratis dapat diakses di seluruh area akomodasi, dan tersedia tempat parkir pribadi gratis. Masing-masing kamar Amaris Hotel Setiabudhi - Bandung dilengkapi TV kabel layar datar. Semua kamar memiliki kamar mandi pribadi dengan shower, sandal dan perlengkapan mandi gratis. Cihampelas Walk berjarak 2,4 km dari Amaris Hotel Setiabudhi - Bandung, dan Gedung Sate terletak 4 km. Bandara Husein Sastranegara berjarak 3 km dari hotel."
OYO 230 Maleo Residence,"JI. Dangeur Indah II No. 15, Sukagalih, Sukajadi, Pasteur, Sukajadi, 40163 Bandung, Indonesia","OYO 230 Maleo Residence menawarkan akomodasi bintang 2 bebas rokok dengan balkon pribadi, AC, kamar mandi pribadi, serta Wi-Fi gratis di Bandung tepatnya 3,7 km dari Villa Isola. Kamar-kamar di hotel ini memiliki meja dan TV layar datar. Resepsionisnya yang fasih berbahasa Inggris dan Indonesia siap membantu Anda. OYO 230 Maleo Residence berjarak 5 km dari Cihampelas Walk, 6 km dari Terminal Bus Stasiun Hall, serta 2,8 km dari Bandara Husein Sastranegara. Sukajadi adalah pilihan tepat buat wisatawan yang suka kuliner khas, pemandangan, dan wisata kuliner."
Serela Cihampelas Hotel,"Jl. Cihampelas No. 147, 40131 Bandung, Indonesia","Terletak hanya 100 meter dari Cihampelas Walk, Serela Cihampelas Hotel menawarkan kamar-kamar mewah dengan akses WiFi gratis. Kamar-kamar ber-AC menawarkan TV kabel layar datar, area tempat duduk, dan meja kerja. Kamar mandi dalamnya menyediakan shower air panas dan dingin. Masakan internasional yang lezat disajikan di Kookabura Restaurant, dan Anda juga dapat memesan menggunakan layanan kamar 24-jam. Di Serela Cihampelas Hotel, Anda akan menemukan bagian penerima tamu 24-jam dan fasilitas rapat/perjamuan. Pijat relaksasi dapat diatur dengan biaya tambahan. Serela Cihampelas Hotel berjarak 45 menit berkendara dari Tangkuban Perahu. Bandara Internasional Husein Sastranegara dapat dijangkau dalam 15 menit berkendara."
